Ground,Span,Span_2,Mat,Won,Tied,NR,Runs,Wkts,Balls,Ave,RPO,
"Warner Park, Basseterre, St Kitts - West Indies",2006-2018,12,18,18,0,0,8987,273,9766,32.91,5.52,
"Civil Service Cricket Club, Stormont, Belfast - Ireland",2006-2019,13,29,26,0,3,10399,401,13745,25.93,4.53,
"Cambusdoon New Ground, Ayr - Scotland",2006-2012,6,7,5,0,2,2284,96,2940,23.79,4.66,
"Kinrara Academy Oval, Kuala Lumpur - Malaysia",2006-2018,12,10,9,0,1,4102,162,5119,25.32,4.8,
Mombasa Sports Club Ground - Kenya,2006-2012,6,12,12,0,0,5394,190,6629,28.38,4.88,
"Shere Bangla National Stadium, Mirpur, Dhaka - Bangladesh",2006-2018,12,108,107,0,1,46057,1617,56791,28.48,4.86,
"Jaffery Sports Club Ground, Nairobi - Kenya",2007-2007,0,5,5,0,0,2195,72,2368,30.48,5.56,
"Ruaraka Sports Club Ground, Nairobi - Kenya",2007-2007,0,5,5,0,0,2445,64,2800,38.2,5.23,
"Sir Vivian Richards Stadium, North Sound, Antigua - West Indies",2007-2017,10,17,17,0,0,7548,252,9205,29.95,4.91,
"Providence Stadium, Guyana - West Indies",2007-2018,11,21,21,0,0,9084,324,11480,28.03,4.74,
"Titwood, Glasgow - Scotland",2007-2010,3,2,2,0,0,814,23,868,35.39,5.62,
"Hazelaarweg, Rotterdam - Netherlands",2007-2010,3,10,10,0,0,3556,140,5146,25.4,4.14,
"Maple Leaf North-West Ground, King City - Canada",2008-2013,5,12,10,0,2,3980,159,5078,25.03,4.7,
"Mannofield Park, Aberdeen - Scotland",2008-2014,6,11,11,0,0,4459,154,5509,28.95,4.85,
Dubai International Cricket Stadium - U.A.E.,2009-2019,10,34,32,1,1,14794,504,18391,29.35,4.82,
"Windsor Park, Roseau, Dominica - West Indies",2009-2010,1,4,4,0,0,1978,61,2268,32.42,5.23,
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur - India",2009-2019,10,9,9,0,0,4908,132,5137,37.18,5.73,
"University Oval, Dunedin - New Zealand",2010-2019,9,10,10,0,0,4650,168,5305,27.67,5.25,
"Sportpark Westvliet, The Hague - Netherlands",2010-2011,1,6,6,0,0,2275,88,3235,25.85,4.21,
"Sportpark Thurlede, Schiedam - Netherlands",2010-2010,0,2,2,0,0,691,31,1083,22.29,3.82,
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota - Sri Lanka",2011-2017,6,20,17,0,3,8525,248,8894,34.37,5.75,
Pallekele International Cricket Stadium - Sri Lanka,2011-2018,7,24,24,0,0,10664,341,11937,31.27,5.36,
"Cobham Oval (New), Whangarei - New Zealand",2012-2017,5,2,2,0,0,1100,28,1176,39.28,5.61,
"Saurashtra Cricket Association Stadium, Rajkot - India",2013-2015,2,2,2,0,0,1163,26,1200,44.73,5.81,
"JSCA International Stadium Complex, Ranchi - India",2013-2019,6,5,4,0,1,2303,68,2522,33.86,5.47,
"Himachal Pradesh Cricket Association Stadium, Dharamsala - India",2013-2017,4,4,4,0,0,1664,56,1987,29.71,5.02,
"ICC Academy, Dubai - U.A.E.",2013-2019,6,23,22,0,1,10524,326,12214,32.28,5.16,
"The Village, Malahide, Dublin - Ireland",2013-2019,6,16,14,0,2,6890,202,7508,34.1,5.5,
"Maharashtra Cricket Association Stadium, Pune - India",2013-2018,5,4,4,0,0,2227,64,2349,34.79,5.68,
"Saxton Oval, Nelson - New Zealand",2014-2019,5,11,10,0,1,5345,134,5569,39.88,5.75,
"Hagley Oval, Christchurch - New Zealand",2014-2019,5,14,14,0,0,6365,208,6903,30.6,5.53,
"Bert Sutcliffe Oval, Lincoln - New Zealand",2014-2014,0,2,2,0,0,1060,26,1114,40.76,5.7,
"Bay Oval, Mount Maunganui - New Zealand",2014-2019,5,9,9,0,0,4740,135,5033,35.11,5.65,
"Bayuemas Oval, Kuala Lumpur - Malaysia",2014-2014,0,1,1,0,0,434,14,556,31,4.68,
"Tony Ireland Stadium, Townsville - Australia",2014-2014,0,2,2,0,0,930,33,1118,28.18,4.99,
"Mission Road Ground, Mong Kok, Hong Kong - Hong Kong",2016-2016,0,4,4,0,0,1654,70,2123,23.62,4.67,
"Greater Noida Sports Complex Ground, Greater Noida - India",2017-2017,0,5,5,0,0,2629,79,2918,33.27,5.4,
"Amini Park, Port Moresby - P.N.G.",2017-2017,0,2,2,0,0,862,34,1145,25.35,4.51,
Perth Stadium - Australia,2018-2018,0,2,2,0,0,811,34,981,23.85,4.96,
"Old Hararians, Harare - Zimbabwe",2018-2018,0,5,5,0,0,2156,75,2522,28.74,5.12,
"Barsapara Cricket Stadium, Guwahati - India",2018-2018,0,1,1,0,0,648,10,553,64.8,7.03,
"Greenfield International Stadium, Thiruvananthapuram - India",2018-2018,0,1,1,0,0,209,11,280,19,4.47,
Sylhet International Cricket Stadium - Bangladesh,2018-2018,0,1,1,0,0,400,11,531,36.36,4.51,
"Rajiv Gandhi International Cricket Stadium, Dehradun - India",2019-2019,0,5,4,0,1,1864,67,2524,27.82,4.43,
"Wanderers Cricket Ground, Windhoek - Namibia",2019-2019,0,1,1,0,0,307,17,474,18.05,3.88,
"Affies Park, Windhoek - Namibia",2019-2019,0,1,1,0,0,329,15,460,21.93,4.29,
